time,cpu_useage,memory_useage,kB_rd/s,kB_wr/s,cache_hit_rate,concurrent_users,lock_wait_count,error_cnt_per_second,logical_reads_per_second,physical_reads_per_second,active_session,transactions_per_second,rows_scanned_per_second,rows_inserted_per_second,rows_updated_per_second,rows_deleted_per_second,auto_vacuum_cnt_per_second,filesys_use_rate
1701265976.5795481,1056.0,8.5,0.28,0.05,0.9926987474629786,2.0,0.0,1.0,290034.0,298.0,73.0,5342.0,97796.0,0.0,0.0,0.0,0.0,0.2464083437849909
1701265977.591185,1076.0,8.7,0.28,0.05,0.9926987474629786,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2464083437849909
1701265978.5348165,856.2,8.8,0.28,0.05,0.9926992367667941,2.0,0.0,2.0,62226.0,33.0,72.0,2382.0,22978.0,0.0,0.0,0.0,0.0,0.2464083437849909
1701265979.5338163,875.0,9.0,0.28,0.05,0.9926995040821787,2.0,0.0,1.0,19058.0,0.0,72.0,4750.0,7470.0,0.0,0.0,0.0,0.0,0.2464083437849909
1701265980.5330975,1038.0,9.2,0.28,0.05,0.992699788240454,2.0,0.0,1.0,20192.0,0.0,72.0,4548.0,7848.0,0.0,0.0,0.0,0.0,0.24640837309829225
1701265981.5335345,946.7,9.5,0.29,0.05,0.9927000452270497,2.0,0.0,1.0,25528.0,44.0,73.0,4096.0,9630.0,0.0,0.0,0.0,0.0,0.24641033708948115
1701265982.5349479,831.2,9.8,0.29,0.05,0.9927001880113622,2.0,0.0,1.0,6103.0,64.0,73.0,4650.0,3161.0,0.0,0.0,0.0,0.0,0.24641153893483553
1701265983.535642,887.5,10.0,0.29,0.05,0.9927003228697331,2.0,0.0,1.0,5226.0,29.0,72.0,4919.0,2880.0,0.0,0.0,0.0,0.0,0.24641373743243503
1701265984.5390975,968.8,10.2,0.29,0.05,0.992700482980337,2.0,0.0,1.0,4832.0,0.0,72.0,5359.0,2730.0,0.0,0.0,0.0,0.0,0.24641376674573637
1701265985.5395238,950.0,10.4,0.29,0.05,0.9927006511882234,2.0,0.0,1.0,4787.0,0.0,72.0,5642.0,2713.0,0.0,0.0,0.0,0.0,0.24641376674573637
1701265986.5386238,1113.0,10.6,0.29,0.05,0.9927008195354788,2.0,0.0,1.0,4439.0,0.0,72.0,5822.0,2597.0,0.0,0.0,0.0,0.0,0.24641376674573637
1701265987.5393894,725.0,10.8,0.29,0.05,0.9927009776627662,2.0,0.0,1.0,4622.0,0.0,72.0,5384.0,2660.0,0.0,0.0,0.0,0.0,0.24641376674573637
1701265988.5406446,893.8,11.1,0.29,0.05,0.9927003656148509,2.0,0.0,1.0,14438.0,449.0,72.0,3437.0,5930.0,6.0,12.0,6.0,0.0,0.24641382537233902
1701265989.5414014,731.2,11.4,0.29,0.05,0.9926940027185187,2.0,0.0,1.0,129635.0,4055.0,72.0,1176.0,44331.0,77.0,154.0,77.0,0.0,0.2464140305654483
1701265990.5915747,1025.0,11.7,0.31,0.06,0.9926853947474839,2.0,0.0,0.0,248409.0,5553.0,74.0,543.0,82835.0,161.0,322.0,161.0,0.0,0.2464140305654483
1701265991.5643823,1044.0,11.9,0.32,0.06,0.9926825981145015,2.0,0.0,2.0,115834.0,1867.0,72.0,74.0,40868.0,71.0,142.0,71.0,0.0,0.24641414781865362
1701265992.5490544,993.8,12.0,0.33,0.06,0.9926791749912791,2.0,0.0,1.0,144633.0,2264.0,72.0,97.0,49365.0,95.0,190.0,95.0,0.0,0.24641704983548496
1701265993.5872467,1069.0,12.3,0.34,0.11,0.9926731492576805,2.0,0.0,1.0,262135.0,3968.0,75.0,190.0,88593.0,177.0,354.0,177.0,0.0,0.24643255657188678
1701265994.5673187,1094.0,12.5,0.34,0.14,0.9926687358545102,2.0,0.0,0.0,211917.0,2907.0,74.0,159.0,70777.0,148.0,296.0,148.0,0.0,0.24643654318086722
1701265995.6017492,1147.0,12.7,0.35,0.15,0.9926649227362366,2.0,0.0,1.0,194043.0,2523.0,74.0,143.0,65909.0,135.0,270.0,135.0,0.0,0.2464380381592349
1701265996.5990746,1056.0,12.9,0.35,0.16,0.9926622448388234,2.0,0.0,0.0,143237.0,1765.0,74.0,110.0,47833.0,103.0,206.0,103.0,0.0,0.24643953313760256
1701265997.633667,1075.0,13.1,0.35,0.17,0.9926577018076445,2.0,0.0,2.0,269804.0,3025.0,74.0,194.0,92372.0,191.0,382.0,191.0,0.0,0.24644222996132462
