time,cpu_useage,memory_useage,kB_rd/s,kB_wr/s,cache_hit_rate,concurrent_users,lock_wait_count,error_cnt_per_second,logical_reads_per_second,physical_reads_per_second,active_session,transactions_per_second,rows_scanned_per_second,rows_inserted_per_second,rows_updated_per_second,rows_deleted_per_second,auto_vacuum_cnt_per_second,filesys_use_rate
1701263206.9434793,1075.0,8.4,0.29,0.05,0.9926977980235472,2.0,0.0,1.0,172048.0,378.0,74.0,3129.0,58494.0,0.0,0.0,0.0,0.0,0.24606004313862676
1701263207.972694,1127.0,8.5,0.29,0.05,0.9926986351434964,2.0,0.0,0.0,106480.0,50.0,74.0,1972.0,35494.0,0.0,0.0,0.0,0.0,0.24606004313862676
1701263208.9344254,1062.0,8.7,0.29,0.05,0.9926990556504911,2.0,0.0,1.0,56153.0,31.0,72.0,1053.0,19837.0,0.0,0.0,0.0,0.0,0.24606004313862676
1701263209.9078445,866.7,8.8,0.29,0.05,0.9926990556504911,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24606004313862676
1701263210.9101589,1033.0,9.0,0.29,0.05,0.9926995171190797,2.0,0.0,3.0,39403.0,0.0,72.0,6951.0,16485.0,0.0,0.0,0.0,0.0,0.2460600724519281
1701263211.9111645,756.2,9.2,0.29,0.05,0.9926996960782274,2.0,0.0,1.0,4484.0,0.0,72.0,6230.0,2612.0,0.0,0.0,0.0,0.0,0.2460600724519281
1701263212.9106348,837.5,9.4,0.29,0.05,0.9926998272504949,2.0,0.0,1.0,4520.0,0.0,72.0,4334.0,2626.0,0.0,0.0,0.0,0.0,0.2460601017652294
1701263213.958107,1069.0,9.9,0.29,0.05,0.9926914187879715,2.0,0.0,1.0,71793.0,5608.0,74.0,2590.0,25049.0,497.0,994.0,497.0,0.0,0.24609073416511584
1701263214.9663942,961.1,10.2,0.29,0.06,0.9926875575355442,2.0,0.0,0.0,37620.0,2627.0,74.0,340.0,12544.0,334.0,668.0,334.0,0.0,0.2460934016755366
1701263215.9370978,1081.0,10.5,0.3,0.11,0.9926831599996914,2.0,0.0,0.0,42074.0,2990.0,74.0,432.0,14032.0,428.0,856.0,428.0,0.0,0.2460972710313117
1701263216.9693367,1056.0,10.7,0.3,0.15,0.992680674100584,2.0,0.0,1.0,26661.0,1697.0,73.0,260.0,10007.0,258.0,516.0,258.0,0.0,0.24610480454975267
1701263217.9768703,1075.0,10.9,0.3,0.15,0.9926757051724686,2.0,0.0,2.0,53495.0,3392.0,73.0,558.0,20075.0,556.0,1112.0,556.0,0.0,0.24610597708180573
1701263218.9545016,1127.0,11.2,0.3,0.17,0.9926726397877742,2.0,0.0,0.0,24703.0,2058.0,73.0,382.0,8245.0,374.0,748.0,374.0,0.0,0.246106270214819
1701263219.9816191,1044.0,11.3,0.3,0.17,0.9926696821792987,2.0,0.0,3.0,36276.0,2028.0,72.0,375.0,15452.0,373.0,746.0,373.0,0.0,0.24610820489270657
1701263220.9364557,1012.0,11.5,0.3,0.17,0.9926649855903478,2.0,1.0,1.0,35479.0,3122.0,73.0,591.0,12955.0,589.0,1178.0,589.0,0.0,0.24612520660747608
1701263222.0157902,1069.0,11.8,0.3,0.2,0.9926576978221028,2.0,0.0,0.0,43524.0,4804.0,74.0,973.0,14548.0,965.0,1930.0,965.0,0.0,0.24613033643520826
1701263223.0385566,1069.0,12.0,0.3,0.23,0.9926534407811677,2.0,0.0,1.0,27229.0,2808.0,74.0,608.0,10215.0,605.0,1210.0,605.0,0.0,0.24613238836630114
1701263223.9626842,1107.0,12.2,0.31,0.24,0.9926509102499526,2.0,0.0,1.0,16935.0,1668.0,74.0,375.0,6775.0,374.0,748.0,374.0,0.0,0.24613954081182485
1701263225.0662422,1088.0,12.3,0.31,0.24,0.9926472807518609,2.0,0.0,1.0,21094.0,2379.0,74.0,539.0,8168.0,531.0,1062.0,531.0,0.0,0.2461402443310567
1701263225.9982495,1100.0,12.5,0.31,0.25,0.9926427974530382,2.0,0.0,0.0,18366.0,2913.0,73.0,683.0,6156.0,681.0,1362.0,681.0,0.0,0.24614156342961638
1701263226.9812026,1025.0,12.6,0.31,0.32,0.9926427974530382,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246143322227696
1701263227.9605694,976.5,12.7,0.31,0.35,0.99263827209512,2.0,0.0,4.0,35317.0,3003.0,72.0,733.0,16287.0,729.0,1458.0,729.0,0.0,0.2461473674632791
1701263228.9656093,1018.0,12.8,0.31,0.36,0.9926328987043866,2.0,0.0,1.0,22753.0,3498.0,73.0,897.0,8747.0,889.0,1778.0,889.0,0.0,0.24616214136714776
1701263229.989537,1044.0,13.1,0.37,0.36,0.9926284270459946,2.0,0.0,1.0,14599.0,2899.0,74.0,760.0,4925.0,759.0,1518.0,758.0,0.0,0.246168443726933
1701263230.9934099,1031.0,13.2,0.37,0.37,0.9926255299380624,2.0,0.0,1.0,14369.0,1899.0,74.0,523.0,5947.0,515.0,1030.0,515.0,0.0,0.24617002664520465
1701263231.9908683,1113.0,13.3,0.37,0.44,0.992621659106474,2.0,0.0,0.0,12246.0,2516.0,74.0,700.0,4138.0,698.0,1396.0,698.0,0.0,0.24617846887598674
1701263233.0065305,1044.0,13.4,0.37,0.45,0.9926176356678208,2.0,0.0,2.0,19836.0,2638.0,74.0,735.0,8906.0,733.0,1466.0,733.0,0.0,0.24618025698736767
1701263234.020643,982.4,13.5,0.37,0.48,0.9926142398831099,2.0,0.0,1.0,13707.0,2219.0,73.0,637.0,5749.0,629.0,1258.0,629.0,0.0,0.24618834745853385
