time,cpu_useage,memory_useage,kB_rd/s,kB_wr/s,disk_total_read,disk_total_write,cache_hit_rate,concurrent_users,lock_wait_count,error_cnt_per_second,logical_reads_per_second,physical_reads_per_second,active_session,transactions_per_second,rows_scanned_per_second,rows_inserted_per_second,rows_updated_per_second,rows_deleted_per_second,auto_vacuum_cnt_per_second,filesys_use_rate
1712836348.8838105,6.2,9.5,0.03,0.0,0.0,0.0,0.9875341936401497,2.0,0.0,1.0,3782.0,19.0,9.0,8.0,2380.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836349.8853598,73.3,9.5,0.03,0.0,0.0,0.0,0.9875341971421798,2.0,0.0,1.0,4256.0,22.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836350.8865476,0.0,9.5,0.03,0.0,0.0,0.0,0.9875342496284051,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836351.8877392,12.5,9.5,0.03,0.0,0.0,0.0,0.987534303390939,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836352.8889937,6.7,9.5,0.03,0.0,0.0,0.0,0.9875343558762694,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836353.8900056,0.0,9.5,0.03,0.0,0.0,0.0,0.9875344083611579,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836354.890886,13.3,9.5,0.03,0.0,0.0,0.0,0.9875344621223227,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836355.8925333,0.0,9.5,0.03,0.0,0.0,0.0,0.9875345146063165,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836356.89371,6.2,9.5,0.03,0.0,0.0,0.0,0.9875345670898684,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836357.8944905,6.7,9.5,0.03,0.0,0.0,0.0,0.987534620849664,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880774013007208
1712836358.8957598,640.0,10.2,0.03,0.0,0.0,9858.849999999999,0.9875187631419533,2.0,0.0,1.0,284444.0,8065.0,17.0,4738.0,109354.0,218.0,436.0,218.0,0.0,0.1880774013007208
1712836359.8965619,693.8,11.5,0.03,0.01,0.0,10327.84,0.9874586379629782,2.0,0.0,1.0,1745792.0,29725.0,17.0,4312.0,679810.0,1604.0,3207.0,1604.0,0.0,0.1880774013007208
1712836360.896678,637.5,12.1,0.03,0.01,1760.5500000000002,0.0,0.9874241721141502,2.0,0.0,1.0,1458049.0,17474.0,17.0,1370.0,570887.0,1362.0,2724.0,1362.0,0.0,0.1880774013007208
1712836361.8977137,156.2,12.3,0.03,0.01,354.36,8504.75,0.9874006016337641,2.0,0.0,1.0,1111541.0,12135.0,17.0,1042.0,437681.0,1040.0,2080.0,1040.0,0.0,0.1880774013007208
1712836362.8987954,100.0,12.4,0.03,0.01,716.9,297509.68,0.987390685192385,2.0,0.0,1.0,493223.0,5151.0,17.0,460.0,194395.0,458.0,916.0,458.0,0.0,0.1880774013007208
1712836363.8998666,100.0,12.5,0.03,0.01,4322.53,9725.71,0.9873852209108362,2.0,0.0,1.0,287836.0,2871.0,17.0,272.0,113138.0,264.0,528.0,264.0,0.0,0.1880774013007208
1712836364.9005122,533.3,12.8,0.03,0.01,10695.030000000002,10326.25,0.98736092819636,2.0,0.0,1.0,1240992.0,12669.0,17.0,1163.0,489086.0,1161.0,2322.0,1161.0,0.0,0.1880774013007208
1712836365.901597,166.7,12.9,0.03,0.02,1836.6999999999998,8816.1,0.9873496081176866,2.0,0.0,1.0,635834.0,6005.0,17.0,594.0,250922.0,592.0,1184.0,592.0,0.0,0.1880774013007208
1712836366.9026558,180.0,13.0,0.03,0.02,0.0,8049.48,0.9873399234324176,2.0,0.0,1.0,545989.0,5145.0,17.0,516.0,215947.0,508.0,1016.0,508.0,0.0,0.1880774013007208
1712836367.9037158,160.0,13.2,0.03,0.02,1812.0,5435.97,0.987330706865969,2.0,0.0,1.0,528200.0,4912.0,17.0,493.0,208714.0,491.0,982.0,491.0,0.0,0.1880774013007208
1712836368.9048312,168.8,13.3,0.03,0.02,0.0,6052.45,0.9873228899668548,2.0,0.0,1.0,444876.0,4167.0,17.0,414.0,175644.0,412.0,824.0,412.0,0.0,0.1880774013007208
1712836369.9055943,181.2,13.4,0.03,0.03,0.0,6275.17,0.987317042722756,2.0,0.0,1.0,343662.0,3139.0,17.0,325.0,135786.0,317.0,634.0,317.0,0.0,0.1880774013007208
