time,cpu_useage,memory_useage,kB_rd/s,kB_wr/s,disk_total_read,disk_total_write,cache_hit_rate,concurrent_users,lock_wait_count,error_cnt_per_second,logical_reads_per_second,physical_reads_per_second,active_session,transactions_per_second,rows_scanned_per_second,rows_inserted_per_second,rows_updated_per_second,rows_deleted_per_second,auto_vacuum_cnt_per_second,filesys_use_rate
1712839583.2297878,6.2,9.5,0.03,0.0,0.0,0.0,0.9875341923633715,2.0,0.0,1.0,3608.0,19.0,9.0,2.0,2320.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839584.2313485,6.2,9.5,0.03,0.0,0.0,0.0,0.9875341958654074,2.0,0.0,1.0,4256.0,22.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839585.2324946,0.0,9.5,0.03,0.0,0.0,0.0,0.9875342496284051,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839586.2337344,0.0,9.5,0.03,0.0,0.0,0.0,0.9875343021141882,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839587.234453,0.0,9.5,0.03,0.0,0.0,0.0,0.9875343545995294,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839588.2356796,0.0,9.5,0.03,0.0,0.0,0.0,0.9875344083611579,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839589.2371404,6.2,9.5,0.03,0.0,0.0,0.0,0.9875344608456045,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839590.238299,6.2,9.5,0.03,0.0,0.0,0.0,0.9875345133296091,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839591.2395144,25.0,9.5,0.03,0.0,0.0,0.0,0.9875345670898684,2.0,0.0,1.0,4430.0,0.0,9.0,8.0,2596.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839592.2407057,43.8,9.5,0.03,0.0,0.0,0.0,0.9875346195729783,2.0,0.0,1.0,4256.0,0.0,9.0,2.0,2536.0,0.0,0.0,0.0,0.0,0.1880876849102054
1712839593.2414553,75.0,10.0,0.03,0.0,20910.46,0.0,0.9875337140387218,2.0,0.0,1.0,33706.0,706.0,17.0,2724.0,12858.0,8.0,16.0,8.0,0.0,0.1880876849102054
1712839594.242515,26.7,10.1,0.03,0.0,8373.310000000001,2184.34,0.9875305729115021,2.0,0.0,1.0,65507.0,1864.0,17.0,3645.0,24855.0,29.0,58.0,29.0,0.0,0.1880876849102054
1712839595.2438862,12.5,10.2,0.03,0.01,0.0,0.0,0.9875293798366538,2.0,0.0,1.0,18172.0,595.0,17.0,14.0,8010.0,12.0,24.0,12.0,0.0,0.1880876849102054
1712839596.2447467,73.3,10.2,0.03,0.01,1741.0,1044.6,0.9875253594170229,2.0,0.0,1.0,67530.0,2062.0,17.0,952.0,26830.0,48.0,96.0,48.0,0.0,0.1880876849102054
1712839597.2455688,46.7,10.3,0.03,0.01,0.0,283.95,0.9875195066466403,2.0,0.0,1.0,98155.0,2845.0,17.0,91.0,39157.0,83.0,166.0,83.0,0.0,0.1880876849102054
1712839598.246586,180.0,10.5,0.03,0.01,2081.1600000000003,0.0,0.9875126177303813,2.0,0.0,1.0,130431.0,3322.0,17.0,117.0,51565.0,115.0,230.0,115.0,0.0,0.1880876849102054
1712839599.2474835,120.0,10.8,0.03,0.01,1801.1100000000001,0.0,0.9875001426386854,2.0,0.0,1.0,278746.0,6030.0,17.0,257.0,109594.0,255.0,510.0,255.0,0.0,0.1880876849102054
1712839600.2486506,93.3,10.9,0.03,0.01,0.0,708.2,0.9874916998756404,2.0,0.0,1.0,221358.0,4119.0,17.0,211.0,87142.0,203.0,406.0,203.0,0.0,0.1880876849102054
1712839601.2496686,146.7,11.1,0.03,0.01,6406.37,5338.639999999999,0.9874832564992934,2.0,0.0,1.0,253452.0,4155.0,17.0,237.0,100072.0,235.0,470.0,235.0,0.0,0.1880876849102054
1712839602.250812,193.8,11.3,0.04,0.01,9273.42,4280.04,0.9874715181544698,2.0,0.0,1.0,396331.0,5815.0,17.0,368.0,154465.0,366.0,732.0,366.0,0.0,0.1880876849102054
1712839603.2519312,173.3,11.5,0.04,0.02,705.94,0.0,0.9874576543874926,2.0,0.0,1.0,537764.0,6964.0,17.0,511.0,211640.0,503.0,1006.0,503.0,0.0,0.1880876849102054
1712839604.2529256,81.2,11.6,0.04,0.02,2515.8,199108.37,0.9874523285096352,2.0,0.0,1.0,233474.0,2723.0,17.0,219.0,92802.0,217.0,434.0,217.0,0.0,0.1880876849102054
1712839605.2539625,181.2,11.7,0.04,0.02,3026.33,25485.180000000004,0.9874477566779124,2.0,0.0,1.0,205081.0,2343.0,17.0,189.0,80369.0,187.0,374.0,187.0,0.0,0.1880876849102054
1712839606.2550504,137.5,11.8,0.04,0.02,9320.08,5735.43,0.9874357256748412,2.0,0.0,1.0,507574.0,6106.0,17.0,483.0,200370.0,475.0,950.0,475.0,0.0,0.1880876849102054
1712839607.2561202,200.0,11.9,0.04,0.02,8978.81,6983.51,0.9874278919275936,2.0,0.0,1.0,358470.0,4020.0,17.0,335.0,141292.0,333.0,666.0,333.0,0.0,0.1880876849102054
1712839608.2572806,81.2,12.0,0.04,0.03,721.76,721.76,0.9874231049224718,2.0,0.0,1.0,219598.0,2468.0,17.0,206.0,87564.0,204.0,408.0,204.0,0.0,0.1880876849102054
1712839609.2582645,68.8,12.0,0.04,0.03,1430.2,4290.62,0.9874193200782109,2.0,0.0,1.0,184185.0,1965.0,17.0,175.0,72209.0,167.0,334.0,167.0,0.0,0.1880876849102054
